200 10000
82 157 882
189 192 653
138 149 570
59 151 291
86 161 557
182 50 709
64 156 767
183 137 90
83 52 146
17 156 698
2 143 276
81 44 734
38 124 415
74 106 494
88 60 163
97 60 477
164 194 495
174 162 522
112 168 960
163 32 938
20 118 258
26 11 79
44 101 635
121 66 161
24 70 830
47 130 271
134 168 548
66 16 216
81 187 62
106 200 940
84 172 239
129 81 122
137 175 67
157 74 787
24 84 454
46 13 202
41 61 286
63 182 462
104 3 415
78 36 905
125 75 803
83 5 705
83 84 210
36 168 691
39 186 760
164 34 294
190 61 135
17 74 750
93 161 198
115 65 710
105 98 340
63 150 325
141 100 91
18 120 897
81 150 449
55 150 275
33 154 934
43 129 974
131 149 853
180 44 204
24 92 720
122 111 390
149 92 188
81 56 835
16 121 471
171 76 658
18 104 779
12 71 299
73 186 885
180 47 973
144 130 437
193 30 953
120 155 232
73 150 810
13 21 742
183 149 410
40 50 147
11 136 567
132 30 315
125 176 422
76 10 647
6 31 38
161 186 480
135 74 870
95 133 825
81 128 197
58 163 890
156 123 839
37 152 408
54 25 786
128 168 834
45 188 250
29 61 725
168 52 369
78 52 160
111 125 631
140 57 303
59 58 647
5 147 277
114 158 894
104 127 543
68 139 457
192 183 118
148 128 310
20 34 324
12 70 541
183 46 382
30 61 644
160 52 635
10 94 244
113 108 485
37 158 338
71 173 712
50 91 868
138 153 831
66 177 519
86 18 898
68 182 771
154 55 44
172 89 166
89 159 723
73 182 869
48 55 442
118 6 340
108 159 290
174 131 387
185 175 712
15 6 976
167 9 947
181 192 277
44 170 629
160 29 774
176 100 847
24 145 558
18 56 316
125 199 822
132 84 743
91 63 52
24 8 583
130 151 197
1 144 460
88 116 343
156 125 825
35 18 723
168 52 546
90 58 874
25 24 86
127 187 124
184 138 586
65 188 563
4 20 242
2 88 713
199 54 305
115 2 510
7 193 773
26 160 189
184 147 161
168 62 822
118 140 638
59 102 958
168 65 286
177 135 742
116 68 618
164 118 69
187 105 649
1 38 898
75 123 485
105 140 310
98 129 597
132 122 926
55 143 476
51 187 226
135 37 721
23 108 137
62 45 733
40 175 49
55 149 32
62 95 275
80 128 963
90 133 57
195 18 222
45 73 888
200 67 926
148 103 418
115 173 178
18 40 110
160 90 389
56 105 49
166 70 783
61 30 769
87 128 885
161 57 124
26 108 388
161 51 732
175 56 830
151 28 759
161 20 55
105 93 811
79 129 675
90 42 879
23 98 527
73 118 637
150 146 129
181 141 81
156 181 333
92 67 195
68 108 213
105 90 787
109 10 422
100 25 836
18 71 221
152 86 708
149 155 330
28 140 372
166 186 22
28 65 809
172 11 432
35 178 780
128 36 437
189 14 837
168 48 176
18 57 782
124 1 17
191 70 351
160 108 615
124 47 330
81 31 154
159 56 971
105 183 302
194 19 322
121 79 482
151 174 945
189 191 940
2 178 600
181 52 747
34 168 919
46 56 900
91 97 130
159 165 538
188 161 321
144 62 469
53 137 814
4 37 704
120 8 902
102 87 227
47 83 954
19 112 687
91 54 619
77 24 731
153 182 579
84 25 982
195 168 28
52 132 621
120 195 393
172 98 388
42 147 876
81 160 246
134 120 146
119 117 346
141 130 7
67 132 46
101 67 228
175 43 435
39 138 225
172 200 846
159 137 665
125 89 790
199 166 795
146 167 498
42 97 41
1 132 396
182 188 50
64 89 78
103 89 319
184 200 288
161 192 277
61 154 480
90 67 63
10 147 43
112 72 909
45 79 299
189 103 285
50 162 922
190 105 344
119 42 848
144 55 304
169 73 636
38 8 49
28 85 33
176 170 576
38 160 956
49 115 870
183 184 180
109 118 561
33 2 650
38 89 473
144 100 809
40 44 428
152 22 290
101 156 143
179 113 264
81 3 370
5 179 407
132 167 548
183 186 878
150 18 971
113 171 216
175 167 212
194 173 747
36 132 282
127 72 889
179 112 353
164 14 926
70 152 219
37 8 396
188 24 746
170 186 895
41 55 637
136 117 720
1 105 381
112 71 414
121 87 445
39 51 191
10 39 98
192 194 27
68 55 65
32 125 473
161 159 130
18 130 515
64 174 569
152 55 360
148 62 712
23 123 736
85 198 565
123 70 183
157 145 964
166 185 77
188 39 284
156 109 289
134 150 98
110 178 952
142 129 467
52 58 684
160 101 274
191 187 245
83 123 923
72 168 945
97 127 457
159 112 654
101 80 800
111 193 158
177 135 355
73 20 842
66 88 715
80 14 12
163 150 664
93 198 966
16 114 816
144 80 809
177 132 872
14 119 787
153 79 253
132 5 47
7 34 664
139 168 68
93 32 733
19 26 266
171 168 998
65 98 143
126 59 683
141 95 207
170 172 41
137 108 728
125 97 785
33 37 822
154 106 275
147 141 840
27 140 568
101 157 87
199 5 440
112 5 461
103 146 81
22 98 332
5 9 593
127 136 871
120 199 762
161 52 947
82 171 646
33 153 151
186 30 906
21 19 907
93 150 17
176 195 757
128 7 524
94 37 215
162 193 334
74 158 205
197 58 614
55 183 121
184 59 481
84 178 600
156 101 960
180 7 495
138 132 407
3 158 153
193 158 127
195 166 138
74 47 134
189 169 313
25 12 219
99 98 838
64 83 718
146 82 876
55 142 335
40 37 321
5 8 191
11 146 732
123 34 625
155 123 306
182 186 977
110 108 41
123 193 874
48 70 50
148 183 643
158 90 804
172 157 157
139 84 168
168 53 986
90 46 24
140 2 278
95 11 443
159 123 312
20 82 963
171 113 131
40 3 302
180 188 869
69 96 380
82 50 828
192 55 823
63 23 59
175 165 796
130 183 807
27 194 255
122 16 129
145 155 228
4 61 924
177 135 623
32 68 681
94 44 983
2 37 910
191 37 489
149 172 226
84 72 563
66 132 636
91 164 658
73 143 597
14 180 658
162 23 158
67 21 612
116 44 126
191 148 269
192 76 842
31 190 998
35 93 980
53 57 542
171 33 976
6 62 667
142 87 636
160 60 467
106 149 565
177 87 328
66 153 528
16 168 931
74 186 799
110 57 14
35 95 144
169 86 449
4 161 458
161 39 132
132 184 11
42 8 773
62 46 334
92 187 819
197 118 442
57 30 515
180 64 793
51 9 1
178 58 675
16 161 235
154 52 90
170 105 681
52 147 416
20 21 363
191 124 49
161 10 217
26 54 301
57 158 697
171 100 304
132 173 784
90 185 182
171 25 550
134 190 807
39 183 136
162 160 569
89 158 421
80 174 243
31 84 920
32 87 144
66 90 387
44 159 279
60 85 846
29 90 766
4 112 456
199 173 630
37 110 456
59 178 476
3 150 179
192 31 492
88 22 75
166 64 534
79 43 147
71 38 170
137 107 557
162 137 846
23 49 234
115 35 549
23 108 702
184 141 14
120 117 957
29 96 556
169 134 34
107 19 727
127 102 531
132 41 567
9 118 647
189 181 127
59 46 40
54 61 544
18 161 686
195 90 237
37 27 710
181 57 918
23 165 822
191 153 98
121 65 809
193 32 86
186 100 903
9 56 875
195 159 660
67 131 368
106 14 87
161 179 830
15 70 558
94 85 536
90 23 680
81 164 772
92 121 368
84 160 15
3 126 86
89 166 648
116 73 867
101 96 698
71 109 307
104 83 204
14 182 806
47 28 150
165 34 36
62 122 213
174 84 207
180 185 632
164 68 172
15 137 746
13 156 201
165 141 135
166 44 906
186 45 519
120 165 265
66 122 592
122 25 12
121 20 249
180 31 256
190 38 903
77 19 555
99 33 370
149 97 568
87 168 805
137 164 465
32 51 383
163 198 187
46 32 682
86 179 836
146 154 732
52 100 113
143 154 810
90 105 283
130 71 173
52 67 278
129 164 370
67 40 877
199 28 65
89 165 595
190 166 385
194 188 331
99 187 806
39 81 640
77 159 839
116 72 489
89 107 533
8 130 985
49 150 965
129 14 606
109 55 990
111 160 506
23 178 962
50 200 368
136 186 699
53 166 784
49 113 388
40 182 269
158 117 437
138 181 38
163 152 818
81 161 664
102 94 691
155 84 608
135 12 185
18 105 20
11 1 421
138 95 258
192 121 796
164 31 86
151 26 874
84 89 470
121 5 200
51 96 486
196 106 790
64 56 676
106 42 916
94 115 78
151 19 956
121 15 365
104 154 986
19 158 297
183 80 204
53 103 850
68 59 525
30 174 255
101 62 584
189 170 1000
46 125 717
33 41 904
138 69 585
176 23 416
99 84 852
175 93 625
137 24 60
101 144 591
32 94 732
81 35 521
6 159 472
32 6 800
109 131 108
163 88 784
137 56 860
167 199 21
194 22 362
93 106 881
95 114 156
146 129 954
42 9 715
56 153 536
142 14 414
51 137 474
119 83 872
6 119 762
190 64 211
135 158 342
54 19 900
47 64 126
9 187 130
20 78 400
65 154 272
87 165 876
86 181 803
56 197 140
15 102 970
120 199 918
47 80 707
144 114 522
1 9 654
31 174 644
120 189 437
131 122 384
78 60 346
93 61 616
142 196 353
180 190 729
45 171 59
128 184 340
20 165 561
53 180 68
69 57 436
200 63 720
18 185 657
75 130 168
8 53 651
104 72 353
10 167 493
146 104 657
34 1 519
108 124 997
144 115 922
29 118 552
53 175 864
51 170 69
100 173 608
199 171 843
106 22 345
43 160 927
200 113 211
16 101 510
22 133 671
63 107 163
82 104 604
126 139 818
146 149 59
104 93 746
86 186 491
4 134 942
81 40 567
16 175 66
140 72 717
187 58 153
59 118 53
108 77 941
188 32 175
70 79 253
156 191 665
191 64 81
179 59 313
77 22 616
93 1 771
86 123 56
1 128 992
151 152 112
29 191 635
134 21 227
194 7 987
32 102 524
108 90 536
115 162 530
199 23 282
134 23 55
149 178 281
34 106 184
139 157 386
97 127 145
22 81 138
11 122 313
156 105 636
118 122 604
35 42 283
89 162 25
110 149 617
71 70 966
186 159 170
85 54 530
132 200 674
112 29 542
175 58 629
40 112 106
29 96 266
129 64 37
27 181 590
13 124 395
108 106 146
161 168 471
55 26 831
184 27 255
46 157 448
65 189 255
7 80 378
79 138 634
166 161 435
39 122 600
178 141 706
23 152 517
32 115 803
168 86 645
136 170 669
3 9 184
81 154 56
139 171 573
84 176 315
34 186 444
92 143 619
187 91 350
110 33 380
10 167 345
30 130 913
123 90 423
156 1 763
39 98 40
119 79 150
36 74 129
26 134 933
59 88 853
56 7 638
58 6 613
176 90 39
100 89 629
197 30 696
27 85 897
53 40 333
191 129 315
171 141 242
109 76 757
54 12 729
188 15 421
135 140 181
103 126 866
67 146 827
161 53 451
127 23 647
91 98 886
200 198 481
33 194 220
144 44 964
147 22 723
117 160 981
5 106 915
162 45 943
103 134 756
56 54 688
43 160 756
24 137 65
58 173 461
32 159 878
174 105 313
173 38 33
14 115 398
20 49 93
66 109 693
36 11 543
52 145 169
74 197 424
130 38 761
119 70 940
37 63 579
15 179 449
110 149 676
127 133 425
59 179 898
121 23 552
2 168 497
47 91 555
150 121 673
83 157 471
11 83 548
147 69 947
86 81 126
168 200 928
112 114 722
108 164 487
97 79 711
132 21 511
22 148 574
168 187 139
150 48 972
163 5 712
18 49 109
96 67 786
11 13 792
74 46 200
116 137 749
73 139 690
46 155 540
43 2 763
77 193 273
78 120 350
36 170 903
101 51 505
38 150 902
190 143 207
153 99 824
141 71 436
186 175 83
101 125 329
65 58 957
148 88 866
49 37 928
113 10 79
161 99 40
20 177 489
25 186 611
200 116 178
117 163 321
110 178 146
97 13 556
26 82 579
168 55 315
156 69 417
100 3 252
32 191 625
197 47 396
68 1 886
41 109 104
126 7 832
138 157 570
71 130 763
107 43 486
35 126 667
75 22 704
156 105 264
191 142 43
193 177 622
175 62 16
50 21 741
29 34 782
64 141 401
159 96 254
78 32 489
137 53 534
196 130 883
125 32 405
106 179 151
63 126 320
2 111 705
14 28 797
4 172 67
55 15 897
1 72 293
106 64 312
157 68 850
18 55 382
190 45 108
110 4 296
147 60 963
65 95 972
47 76 511
110 162 463
140 43 514
187 120 633
186 43 983
143 70 353
79 24 867
83 21 279
168 148 98
100 143 789
72 143 334
53 199 331
45 71 275
57 181 427
167 9 935
112 38 156
164 30 293
129 99 757
114 67 5
147 94 686
106 112 738
66 187 274
12 173 502
32 40 250
152 138 738
110 120 488
193 139 163
43 61 145
169 77 347
186 143 370
102 71 163
141 112 400
189 200 766
37 143 381
164 98 5
145 96 65
168 108 891
84 5 268
117 64 930
10 52 507
172 194 58
112 60 807
162 182 917
40 59 431
99 64 247
22 39 969
143 139 909
108 166 605
138 44 727
153 58 360
24 114 506
83 101 235
189 91 409
189 128 855
182 185 365
110 179 611
22 89 76
116 12 649
187 36 836
127 95 261
113 10 152
179 147 273
40 105 26
40 139 422
42 26 524
157 68 230
3 109 222
69 98 332
186 117 694
77 72 461
159 73 677
159 123 630
25 137 607
111 91 795
99 19 494
190 124 205
124 64 780
80 55 51
196 15 947
194 153 426
171 159 262
160 179 725
66 26 284
24 86 911
11 31 995
105 92 628
77 179 361
177 98 530
92 31 550
26 109 260
149 170 64
87 72 155
15 182 518
60 184 812
33 164 689
112 159 487
70 4 970
160 126 517
97 66 622
132 10 452
114 12 603
56 162 203
105 56 342
121 70 906
150 33 860
26 135 519
10 152 27
137 40 55
137 101 579
79 111 276
82 57 538
35 183 108
54 181 193
99 35 557
121 114 227
171 32 456
47 181 730
149 9 482
152 82 880
147 138 757
116 61 500
190 90 196
1 18 821
123 190 415
170 108 675
70 93 219
72 176 953
18 163 601
44 49 317
142 144 727
51 128 67
90 14 29
9 61 208
176 77 177
174 192 816
170 27 739
48 82 594
101 96 628
101 69 10
155 52 206
195 114 71
53 153 862
165 130 747
40 46 270
149 21 298
148 191 134
169 17 351
48 179 767
130 53 133
191 179 783
168 137 92
89 16 402
128 126 261
57 22 684
124 42 84
199 34 965
174 68 562
53 117 11
83 182 842
84 176 763
137 1 877
55 170 177
95 192 910
71 92 415
23 145 269
38 139 426
145 88 99
126 36 112
124 24 525
122 147 325
55 30 186
143 62 432
5 145 839
119 145 636
137 150 738
144 73 301
72 158 616
2 69 271
39 113 242
148 200 501
95 71 142
115 61 495
133 94 520
33 46 6
158 185 743
134 165 281
189 175 853
10 196 248
190 92 469
168 62 598
119 6 863
150 199 740
65 120 657
91 60 929
176 121 21
46 139 447
18 37 264
135 89 746
60 19 464
41 6 482
174 16 536
176 148 375
23 10 923
69 22 655
179 195 986
3 178 394
33 176 434
8 18 201
71 103 872
91 20 748
18 110 614
3 121 538
162 66 642
10 45 407
159 44 799
170 186 272
42 144 465
88 157 811
153 117 541
54 83 280
79 152 910
27 23 47
15 199 815
74 54 150
17 92 753
6 82 43
191 123 902
44 120 105
196 98 397
26 7 175
177 197 718
58 4 730
160 157 426
198 129 225
123 148 410
44 143 35
49 67 660
127 130 626
63 22 658
176 53 619
187 165 379
172 19 336
139 128 178
188 179 627
145 170 254
118 30 795
175 107 568
200 24 410
19 16 866
174 166 287
194 92 30
32 39 926
112 157 714
108 34 807
40 156 821
139 25 986
60 160 511
194 6 690
93 10 107
135 184 812
108 87 37
153 3 422
157 27 879
53 47 508
137 109 43
62 22 986
89 79 711
51 164 562
106 40 584
128 139 906
114 31 116
96 139 141
197 26 469
197 183 179
52 168 533
31 183 10
63 100 947
178 140 909
20 63 707
110 7 206
102 80 979
44 176 9
199 68 985
196 28 156
149 161 318
166 149 965
189 117 763
41 148 801
117 196 890
138 62 205
27 149 231
100 61 629
160 93 140
194 58 14
89 183 339
189 182 976
141 35 802
176 160 796
56 141 342
41 200 138
15 19 239
50 197 771
197 179 149
178 89 183
190 60 283
38 46 103
35 133 61
159 193 824
69 84 678
82 187 86
148 170 707
86 124 896
157 103 752
22 61 746
13 159 773
133 84 550
151 69 856
153 94 210
120 36 906
60 101 895
140 113 371
126 41 31
137 58 241
121 73 354
114 113 231
36 157 178
42 174 539
3 33 567
9 35 354
198 53 295
97 27 442
70 118 127
95 158 708
78 59 925
20 164 460
68 32 585
170 195 880
140 124 759
164 75 64
185 147 8
60 158 382
181 103 800
95 133 344
25 121 481
114 25 440
53 63 289
148 141 560
194 50 48
193 179 220
194 4 400
9 7 28
125 200 731
134 110 321
99 194 939
32 25 847
122 80 708
71 98 511
193 165 770
107 63 534
66 182 358
174 105 916
79 83 577
100 158 457
79 24 431
42 180 87
89 74 832
110 160 703
41 26 270
29 32 684
174 69 97
149 168 697
10 123 177
136 19 943
188 200 580
7 60 383
83 112 261
193 104 386
194 88 916
187 189 113
142 119 758
137 99 57
102 128 383
190 78 608
161 123 237
141 173 684
148 82 903
170 27 846
105 123 514
30 171 356
160 191 534
177 89 513
69 190 504
82 99 279
182 34 772
98 62 773
153 168 779
179 189 746
101 97 26
194 182 948
105 115 180
91 156 618
191 28 900
189 13 670
42 87 799
97 72 774
181 32 194
146 159 974
193 139 752
115 168 674
166 155 964
157 73 747
103 64 664
181 159 332
10 181 395
185 163 927
147 41 430
189 186 157
162 13 225
23 134 86
15 90 262
29 69 882
145 50 211
72 144 596
77 52 309
121 73 848
133 140 828
135 15 160
59 66 761
17 162 430
162 144 877
37 199 765
171 98 605
97 146 626
103 34 627
175 118 916
170 105 626
160 154 89
132 97 719
73 40 222
183 173 168
142 194 430
153 56 617
145 104 683
142 97 620
55 96 732
75 91 19
96 152 854
113 104 385
162 197 786
121 5 187
157 120 32
182 87 320
27 10 825
162 170 149
87 112 209
192 159 726
129 145 638
70 163 621
162 66 482
26 193 817
76 198 962
83 106 75
13 80 328
180 185 485
162 156 639
88 45 833
196 164 605
110 17 437
80 145 881
162 164 21
177 104 792
195 151 528
53 26 458
111 184 852
61 154 453
46 83 774
137 11 11
35 7 222
87 178 763
144 2 173
151 66 348
118 65 35
100 11 1000
131 128 715
123 94 104
52 22 739
192 190 16
40 26 164
8 140 37
47 93 633
142 72 771
47 60 833
146 127 322
123 117 983
27 69 678
10 122 554
191 91 327
167 91 588
130 178 895
121 87 281
136 110 768
26 76 201
55 109 420
9 156 827
14 117 221
113 30 162
180 83 976
41 45 35
21 15 975
173 29 890
34 109 50
161 155 368
87 72 210
127 189 510
138 120 677
188 128 910
71 126 855
119 166 867
143 36 131
54 142 160
121 106 103
186 131 921
113 86 312
106 40 193
140 77 10
53 1 549
21 150 596
28 142 988
133 163 779
14 1 768
19 107 300
1 49 413
160 159 237
183 2 559
50 177 954
29 106 321
173 10 930
142 162 848
11 16 53
122 170 49
91 66 730
121 13 33
194 189 643
43 189 200
40 23 677
20 182 554
50 141 445
33 181 578
188 129 153
100 43 714
194 88 631
183 103 979
114 119 479
185 40 625
144 189 70
90 141 2
169 32 591
88 100 283
192 159 310
66 105 529
77 181 383
87 122 596
133 7 768
189 39 125
195 198 327
45 101 748
53 55 299
97 76 807
17 155 156
199 24 148
74 58 697
117 145 87
180 170 533
21 23 475
180 124 38
168 42 185
194 55 111
169 190 851
27 172 59
47 156 339
32 138 651
170 168 841
109 122 144
102 145 986
132 164 909
142 172 797
189 166 600
64 28 343
33 193 389
2 100 429
76 36 429
193 123 5
129 176 813
119 15 633
129 36 469
75 120 486
53 92 610
192 74 77
63 119 712
51 138 299
147 23 541
38 69 145
99 155 201
98 168 705
17 189 356
177 123 747
40 2 25
81 19 685
99 136 602
34 121 326
175 151 281
84 21 129
176 182 112
117 73 580
45 63 286
101 133 986
171 69 169
186 88 990
92 95 810
157 190 154
87 42 688
29 18 91
79 108 826
107 130 26
179 188 181
146 133 451
195 130 44
185 195 844
129 138 602
56 87 765
116 134 361
90 2 519
146 118 623
196 76 988
69 50 672
51 19 193
63 198 292
163 142 242
85 119 860
94 165 867
145 174 45
199 131 973
199 72 14
191 116 896
79 64 767
46 8 592
7 71 94
53 27 560
174 113 799
138 133 744
148 140 478
183 136 796
10 156 659
12 36 346
167 176 46
100 109 555
101 93 473
151 53 254
88 7 815
174 11 968
40 167 41
168 97 317
170 73 669
21 93 8
121 132 578
71 52 275
119 134 791
5 91 556
56 128 125
193 84 656
52 186 26
71 78 784
174 115 191
25 40 574
166 138 488
12 179 387
89 105 681
103 136 496
150 35 630
183 96 680
191 10 2
153 86 942
149 153 924
187 18 21
14 97 353
198 26 177
11 162 711
34 96 97
100 179 181
184 173 842
101 178 573
170 133 851
159 94 933
156 200 699
26 54 862
161 136 65
193 57 436
44 11 683
78 93 924
42 26 782
104 56 258
182 191 235
193 72 770
47 101 781
86 183 729
172 86 411
149 30 610
20 16 780
85 83 379
74 64 261
56 81 274
41 152 918
154 123 136
147 92 661
55 63 808
179 193 514
141 48 312
189 168 891
30 200 443
74 99 250
97 133 169
22 38 704
145 92 607
16 72 548
71 50 53
156 180 512
97 88 85
115 155 623
97 23 813
66 24 81
15 141 85
104 70 190
16 90 496
6 61 600
132 53 968
178 53 48
128 154 153
58 14 739
26 18 242
182 97 359
135 37 52
56 93 639
52 49 97
184 176 944
54 193 760
82 80 904
87 173 752
53 91 298
148 186 998
161 168 166
29 80 506
60 124 315
183 71 15
160 10 482
80 191 257
39 83 376
60 147 27
28 100 862
57 186 336
64 53 574
84 125 52
116 21 63
19 21 803
1 154 592
80 43 819
130 135 294
105 24 474
18 180 62
184 33 700
175 173 44
146 3 328
109 158 698
44 3 233
48 40 916
56 149 70
42 148 415
18 45 104
70 94 140
28 132 781
70 117 734
36 145 108
53 63 325
155 26 414
33 150 628
178 170 301
17 186 483
128 10 240
133 130 443
58 137 234
194 4 9
2 15 599
111 127 730
58 139 414
28 117 235
6 112 16
170 189 131
6 139 851
115 104 417
67 56 304
20 116 167
128 193 762
42 4 732
179 74 940
129 101 953
85 194 436
75 3 119
176 194 84
121 177 349
113 92 285
112 2 222
84 128 563
39 120 921
75 56 767
170 71 172
185 24 187
121 40 21
124 159 942
125 78 750
136 60 910
66 9 471
13 190 5
31 5 757
46 78 508
57 158 47
181 7 185
103 70 66
113 67 389
109 143 933
192 93 582
125 175 288
69 85 48
165 85 494
41 123 931
167 78 553
179 130 63
1 7 550
58 72 772
154 137 121
66 10 397
135 148 19
181 156 951
93 186 50
32 62 282
82 18 330
47 23 754
140 48 510
116 67 845
39 86 923
92 32 492
4 27 50
71 159 769
114 49 65
148 153 373
135 123 5
187 125 20
88 171 321
133 44 968
86 85 925
193 66 316
62 30 765
173 54 930
111 171 99
192 63 301
115 185 755
132 103 684
117 42 24
136 163 957
161 174 407
37 23 649
76 119 321
19 64 153
20 62 556
26 59 841
109 176 800
62 47 758
93 123 904
60 80 305
125 48 665
104 56 779
145 125 96
161 172 251
22 14 335
5 25 599
154 113 216
89 17 941
80 65 15
186 54 301
46 152 717
124 158 270
155 171 30
124 72 580
190 115 575
86 89 867
56 144 132
133 66 13
99 95 164
140 166 592
190 165 689
158 156 739
124 94 839
44 17 687
38 138 507
39 143 383
132 10 339
148 127 939
85 158 868
102 126 28
171 12 248
149 109 546
113 46 851
47 165 211
141 63 771
59 24 508
141 5 925
114 101 209
5 154 844
104 6 212
131 132 888
51 116 240
123 24 806
10 23 924
74 71 762
93 113 719
129 39 153
146 164 697
71 16 183
118 68 398
112 95 49
171 16 970
188 19 566
48 26 486
31 33 114
15 16 6
183 15 614
114 47 182
82 116 576
150 8 662
35 71 61
32 147 233
38 187 725
195 114 392
160 6 326
30 1 389
112 191 161
192 101 9
164 1 17
64 168 214
103 181 943
154 153 559
143 192 240
57 115 391
111 152 170
23 127 265
143 189 209
107 197 323
62 158 652
4 5 666
97 147 203
139 77 986
96 91 907
125 178 807
155 84 435
52 63 546
35 102 644
185 200 181
69 30 646
24 181 220
127 163 654
19 177 213
196 166 823
55 169 866
188 113 971
39 107 978
7 19 123
167 129 621
72 18 27
102 184 786
78 157 44
49 12 51
21 152 649
88 194 225
191 122 529
156 185 771
119 157 176
161 81 925
1 79 704
89 54 281
2 24 601
57 64 885
158 45 147
142 82 874
53 27 886
26 76 469
168 154 772
109 182 954
121 81 746
9 40 974
110 127 842
189 170 381
190 71 4
93 83 181
113 116 455
86 34 616
8 121 770
126 38 584
132 174 80
170 62 824
120 36 401
8 128 536
5 145 823
93 33 656
144 199 67
183 105 39
108 37 793
113 54 822
36 50 50
153 157 801
186 170 981
13 32 653
71 152 649
164 146 375
24 91 903
111 35 94
126 77 627
139 177 547
46 56 763
